PH	OC	Mg	N	P	K	Zn	Fe	Cu	Mn	Sand	Silt	Clay	CaCO3	CEC	Fertility_Class
5.06	1.44	2.93	226	28.09	322	1.45	6.11	0.86	3.12	93.76	3.34	7.32	16.28	10.7	High
5.06	3.35	6.8	256	44.96	142	1.51	3.84	0.24	4.91	85.38	6.76	14.08	8.22	4.9	High
5.06	1.44	2.93	226	28.09	322	1.45	6.11	0.86	3.12	93.76	3.34	7.32	16.28	10.7	High
5.06	3.35	6.8	256	44.96	142	1.51	3.84	0.24	4.91	85.38	6.76	14.08	8.22	4.9	High
5.06	1.44	2.93	226	28.09	322	1.45	6.11	0.86	3.12	93.76	3.34	7.32	16.28	10.7	High
5.06	3.35	6.8	256	44.96	142	1.51	3.84	0.24	4.91	85.38	6.76	14.08	8.22	4.9	High
5.07	3.92	3.04	374	22.73	158	1.46	3	0.92	4.95	95.91	14.61	14.61	8.14	16.51	Very High
5.07	5.96	4.34	240	15.4	338	1.99	3.73	0.38	7.27	83.6	6.8	12.7	4.1	14.9	Very High
5.07	3.92	3.04	374	22.73	158	1.46	3	0.92	4.95	95.91	14.61	14.61	8.14	16.51	Very High
5.07	5.96	4.34	240	15.4	338	1.99	3.73	0.38	7.27	83.6	6.8	12.7	4.1	14.9	Very High
5.07	2.06	2.84	71	11.4	58	0.24	2.94	0.78	2.22	69.44	3.57	8.77	2.59	6.77	Low
5.07	2.06	2.84	71	11.4	58	0.24	2.94	0.78	2.22	69.44	3.57	8.77	2.59	6.77	Low
5.07	2.06	1.44	21	9.04	28	0.24	2.94	0.78	2.22	69.44	3.57	8.77	2.59	6.77	Very Low
5.07	4.4	5.57	246	25.24	227	0.32	5.27	0.87	3.57	81.98	8.15	6.46	7.14	10.6	High
5.07	1.76	6.33	209	23.12	398	1.78	3.28	0.48	2.16	84.04	5.06	6.59	10.51	15.6	High
5.07	1.76	6.33	209	23.12	398	1.78	3.28	0.48	2.16	84.04	5.06	6.59	10.51	15.6	High
5.07	4.4	5.57	246	25.24	227	0.32	5.27	0.87	3.57	81.98	8.15	6.46	7.14	10.6	High
5.07	1.76	6.33	209	23.12	398	1.78	3.28	0.48	2.16	84.04	5.06	6.59	10.51	15.6	High
5.07	1.97	2.71	181	18.32	127	1.45	2.93	0.94	7.03	84.41	11.52	7.32	5.66	5.5	Moderate
5.07	1.97	2.71	181	18.32	127	1.45	2.93	0.94	7.03	84.41	11.52	7.32	5.66	5.5	Moderate
5.07	1.97	2.71	181	18.32	127	1.45	2.93	0.94	7.03	84.41	11.52	7.32	5.66	5.5	Moderate
5.08	1.33	6.82	169	32.96	324	1.95	5.18	0.92	2.01	92.83	15.72	13.02	6.83	19.9	Very High
5.08	1.33	6.82	169	32.96	324	1.95	5.18	0.92	2.01	92.83	15.72	13.02	6.83	19.9	Very High
5.08	1.33	6.82	169	32.96	324	1.95	5.18	0.92	2.01	92.83	15.72	13.02	6.83	19.9	Very High
5.08	4.02	0.78	25	14.62	37	0.53	8.69	0.3	6.65	96.44	4.97	7.88	3.7	8.46	Low
5.08	4.02	0.78	25	14.62	37	0.53	8.69	0.3	6.65	96.44	4.97	7.88	3.7	8.46	Low
5.08	2.02	0.48	15	13.52	17	0.23	5.49	0.23	4.45	46.44	4.97	7.88	3.7	5.46	Very Low
5.08	3.53	0.52	240	26.01	246	0.99	3.85	0.22	7.41	72.18	10.32	8.59	19.93	12.67	High
5.08	4.05	1.65	229	17.34	329	1.34	4.32	0.79	6.26	82.01	11.36	7.84	6.16	9.32	High
5.08	3.53	0.52	240	26.01	246	0.99	3.85	0.22	7.41	72.18	10.32	8.59	19.93	12.67	High
5.08	4.05	1.65	229	17.34	329	1.34	4.32	0.79	6.26	82.01	11.36	7.84	6.16	9.32	High
5.08	3.53	0.52	240	26.01	246	0.99	3.85	0.22	7.41	72.18	10.32	8.59	19.93	12.67	High
5.08	4.05	1.65	229	17.34	329	1.34	4.32	0.79	6.26	82.01	11.36	7.84	6.16	9.32	High
5.09	2.57	2.82	65	15.71	76	0.25	5.83	0.25	4.19	35.06	5.61	10.7	4.77	2.39	Low
5.09	2.57	5.82	65	15.71	76	1.25	5.83	0.25	4.19	35.06	5.61	5.7	4.77	2.39	Low
5.09	2.57	2.82	65	15.71	76	0.25	5.83	0.25	4.19	35.06	5.61	10.7	4.77	2.39	Low
5.09	2.57	5.82	65	15.71	76	1.25	5.83	0.25	4.19	35.06	5.61	5.7	4.77	2.39	Low
5.09	2.57	2.82	65	15.71	76	0.25	5.83	0.25	4.19	35.06	5.61	10.7	4.77	2.39	Low
5.09	0.57	2.82	25	5.71	16	0.25	5.83	0.25	4.19	50.06	5.61	8.7	4.77	2.39	Very Low
5.09	2.57	2.82	15	5.71	26	0.25	2.83	0.25	4.19	35.06	5.61	5.7	4.77	2.39	Very Low
5.09	1.43	1.34	262	37.43	130	0.92	8.13	0.83	1.49	99.12	11.99	8.04	18.84	7.92	High
5.09	1.43	1.34	262	37.43	130	0.92	8.13	0.83	1.49	99.12	11.99	8.04	18.84	7.92	High
5.1	3.15	6.6	332	28.44	159	1.9	5.69	0.3	3.16	80.72	9.6	9.6	9.62	5.35	Very High
5.1	3.15	6.6	332	28.44	159	1.9	5.69	0.3	3.16	80.72	9.6	9.6	9.62	5.35	Very High
5.11	0.86	1.61	36	18.07	24	0.79	6.5	0.75	3.57	66.99	7.74	13.23	6.83	2.43	Low
5.11	0.86	1.61	36	18.07	24	0.79	6.5	0.75	3.57	76.99	6.74	5.23	3.83	2.43	Low
5.11	0.86	1.61	36	18.07	24	0.79	6.5	0.75	3.57	66.99	7.74	13.23	6.83	2.43	Low
5.11	0.86	1.61	36	18.07	24	0.79	6.5	0.75	3.57	76.99	6.74	5.23	3.83	2.43	Low
5.11	0.86	1.61	36	18.07	24	0.79	6.5	0.75	3.57	66.99	7.74	13.23	6.83	2.43	Low
5.11	0.86	1.61	26	8.07	24	0.59	6.5	0.75	1.57	46.99	7.74	13.23	6.83	2.43	Very Low
5.11	0.86	1.61	36	8.07	24	0.79	3.5	0.25	3.57	76.99	6.74	5.23	3.83	2.43	Very Low
5.11	3.9	4.65	422	35.51	165	1.2	7.92	0.64	1.79	71.58	3.94	12.38	2.85	9.82	High
5.11	2.52	4.69	190	21.7	282	0.82	3.1	0.82	3.47	78.94	10.53	11.94	3.77	10.81	High
5.11	2.52	4.69	190	21.7	282	0.82	3.1	0.82	3.47	78.94	10.53	11.94	3.77	10.81	High
5.11	3.9	4.65	422	35.51	165	1.2	7.92	0.64	1.79	71.58	3.94	12.38	2.85	9.82	High
5.12	3.31	2.54	30	16.46	42	0.82	5.35	0.38	1.67	35.08	5.21	5.46	4.67	8.22	Low
5.12	2.31	4.54	66	16.46	42	0.82	5.35	0.38	1.67	70.08	5.21	5.46	4.67	8.22	Low
5.12	3.31	2.54	30	16.46	42	0.82	5.35	0.38	1.67	35.08	5.21	5.46	4.67	8.22	Low
5.12	2.31	4.54	66	16.46	42	0.82	5.35	0.38	1.67	70.08	5.21	5.46	4.67	8.22	Low
5.12	3.31	2.54	30	16.46	42	0.82	5.35	0.38	1.67	35.08	5.21	5.46	4.67	8.22	Low
5.12	2.31	4.54	66	16.46	42	0.82	5.35	0.38	1.67	70.08	5.21	5.46	4.67	8.22	Low
5.12	1.31	1.54	30	6.46	22	0.62	5.35	0.38	1.67	50.08	5.21	5.46	4.67	5.22	Very Low
5.12	2.31	2.24	16	6.46	22	0.62	5.35	0.38	1.67	50.08	5.21	5.46	4.67	8.22	Very Low
5.12	0.99	5.5	235	57.8	290	0.57	7.91	0.72	2.83	90.28	11.87	7.93	9.01	4.92	High
5.12	3.75	6.79	206	21.58	254	1.72	2.95	0.95	2.09	84.05	6.49	8.52	9.19	5.47	High
5.12	4.63	4.79	262	23.57	368	1.27	5.14	0.28	1.03	80.26	15.19	11.89	2.75	9.51	High
5.12	3.75	6.79	206	21.58	254	1.72	2.95	0.95	2.09	84.05	6.49	8.52	9.19	5.47	High
5.12	4.63	4.79	262	23.57	368	1.27	5.14	0.28	1.03	80.26	15.19	11.89	2.75	9.51	High
5.12	0.99	5.5	235	57.8	290	0.57	7.91	0.72	2.83	90.28	11.87	7.93	9.01	4.92	High
5.12	3.75	6.79	206	21.58	254	1.72	2.95	0.95	2.09	84.05	6.49	8.52	9.19	5.47	High
5.12	4.63	4.79	262	23.57	368	1.27	5.14	0.28	1.03	80.26	15.19	11.89	2.75	9.51	High
5.13	1.15	2.96	415	59.28	297	1.17	3.74	0.67	7.21	82.85	13.44	14.65	9.56	20.94	Very High
5.13	2.03	3.99	201	45.13	334	1.74	6.88	0.53	2.46	90.12	13.4	13.4	4.18	13.42	Very High
5.13	4	4.37	446	48.45	374	1.76	7.34	0.94	5.29	92.37	13.57	9.21	11.57	12.03	Very High
5.13	1.05	5.78	451	35.05	387	0.98	3.92	0.74	1.56	94.44	16.87	9.21	4.49	8.56	Very High
5.13	1.15	2.96	415	59.28	297	1.17	3.74	0.67	7.21	82.85	13.44	14.65	9.56	20.94	Very High
5.13	2.03	3.99	201	45.13	334	1.74	6.88	0.53	2.46	90.12	13.4	13.4	4.18	13.42	Very High
5.13	4	4.37	446	48.45	374	1.76	7.34	0.94	5.29	92.37	13.57	9.21	11.57	12.03	Very High
5.13	1.05	5.78	451	35.05	387	0.98	3.92	0.74	1.56	94.44	16.87	9.21	4.49	8.56	Very High
5.13	1.15	2.96	415	59.28	297	1.17	3.74	0.67	7.21	82.85	13.44	14.65	9.56	20.94	Very High
5.13	1.36	1.2	10	19.33	64	0.99	2.01	0.95	1.17	76.2	6.95	9.1	9.92	15.25	Low
5.13	1.36	1.2	10	19.33	64	0.99	2.01	0.95	1.17	76.2	6.95	9.1	9.92	15.25	Low
5.13	0.36	1.2	10	9.33	64	0.99	2.01	0.95	1.17	56.2	6.95	9.1	9.92	5.25	Very Low
5.13	3.7	3.32	268	39.37	207	0.63	2.98	0.83	3.72	74.86	5.49	9.42	8.92	9.84	High
5.13	3.7	3.32	268	39.37	207	0.63	2.98	0.83	3.72	74.86	5.49	9.42	8.92	9.84	High
5.13	1.5	4.28	268	55.2	366	0.43	7.6	0.27	6.98	90.58	14.99	14.51	3.01	6.83	High
5.13	3.7	3.32	268	39.37	207	0.63	2.98	0.83	3.72	74.86	5.49	9.42	8.92	9.84	High
5.13	1.36	1.2	110	49.33	164	0.99	2.01	0.95	1.17	76.2	6.95	9.1	9.92	15.25	Moderate
5.13	1.36	1.2	110	49.33	164	0.99	2.01	0.95	1.17	76.2	6.95	9.1	9.92	15.25	Moderate
5.13	1.36	1.2	110	49.33	164	0.99	2.01	0.95	1.17	76.2	6.95	9.1	9.92	15.25	Moderate
5.13	1.36	1.2	110	49.33	164	0.99	2.01	0.95	1.17	76.2	6.95	9.1	9.92	15.25	Moderate
5.14	4.32	6.87	335	56.82	350	0.75	4.26	0.57	6.68	86.17	10.01	9.56	7.05	17.72	Very High
5.14	3.64	0.52	469	40	316	0.98	4.58	0.47	1.91	83.95	11.92	11.92	10.11	18.99	Very High
5.14	3.32	0.82	341	12.85	288	1.37	7.9	0.34	7.92	72.06	16.98	9.35	19.12	6.05	Very High
5.14	4.32	6.87	335	56.82	350	0.75	4.26	0.57	6.68	86.17	10.01	9.56	7.05	17.72	Very High
5.14	3.64	0.52	469	40	316	0.98	4.58	0.47	1.91	83.95	11.92	11.92	10.11	18.99	Very High
5.14	3.32	0.82	341	12.85	288	1.37	7.9	0.34	7.92	72.06	16.98	9.35	19.12	6.05	Very High
5.14	4.32	6.87	335	56.82	350	0.75	4.26	0.57	6.68	86.17	10.01	9.56	7.05	17.72	Very High
5.14	4.53	4.38	134	23.07	138	0.23	8.06	0.7	4.94	83.8	6.66	13.78	13.81	13.73	High
5.14	4.53	4.38	134	23.07	138	0.23	8.06	0.7	4.94	83.8	6.66	13.78	13.81	13.73	High
5.14	4.53	4.38	134	23.07	138	0.23	8.06	0.7	4.94	83.8	6.66	13.78	13.81	13.73	High
5.15	1.89	2.09	28	13.23	13	0.02	6.55	0.85	1.68	64.55	8.88	14.98	18.03	18.69	Low
5.15	1.89	2.09	28	13.23	13	0.02	6.55	0.85	1.68	64.55	8.88	14.98	18.03	18.69	Low
5.15	1.89	2.09	28	13.23	13	0.02	6.55	0.85	1.68	64.55	8.88	14.98	18.03	18.69	Low
5.15	1.89	2.09	18	13.23	13	0.02	2.55	0.55	1.68	54.55	8.88	14.98	18.03	18.69	Very Low
5.15	1.89	2.09	18	13.23	13	0.02	2.55	0.55	1.68	54.55	8.88	14.98	18.03	18.69	Very Low
5.16	3.03	4.35	357	28	364	1.02	6.15	0.28	1.47	97.79	11	11	13.35	9.3	Very High
5.16	3.03	4.35	357	28	364	1.02	6.15	0.28	1.47	97.79	11	11	13.35	9.3	Very High
5.16	1.01	1.32	202	21.69	202	1.44	5.95	0.8	3.35	83.92	7.91	12.64	19.46	9.78	High
5.16	1.01	1.32	202	21.69	202	1.44	5.95	0.8	3.35	83.92	7.91	12.64	19.46	9.78	High
5.16	1.01	1.32	202	21.69	202	1.44	5.95	0.8	3.35	83.92	7.91	12.64	19.46	9.78	High
5.17	1.16	4.91	36	11.78	18	0.83	7.04	0.69	6.09	65.22	9.5	8.99	7.58	6.12	Low
5.17	1.16	4.91	36	11.78	18	0.83	7.04	0.69	6.09	65.22	9.5	8.99	7.58	6.12	Low
5.17	1.16	4.91	36	11.78	18	0.83	7.04	0.69	6.09	65.22	9.5	8.99	7.58	6.12	Low
5.17	1.16	2.01	26	11.78	15	0.63	4.04	0.69	4.09	45.22	9.5	5.09	7.58	3.12	Very Low
5.17	1.16	2.01	26	11.78	15	0.63	4.04	0.69	4.09	45.22	9.5	5.09	7.58	3.12	Very Low
5.17	0.33	2.75	220	25.4	269	0.78	4.76	0.96	5.87	85.04	5.05	14.52	17.42	14.87	High
5.17	0.55	5.65	270	24.49	245	1.5	3.23	0.79	5.73	75.57	8.63	8.99	16.6	7.41	High
5.17	3.8	4.31	164	20.49	215	0.21	3.5	0.92	5.71	91.51	15.33	8.04	12.13	8.93	High
5.17	0.55	5.65	270	24.49	245	1.5	3.23	0.79	5.73	75.57	8.63	8.99	16.6	7.41	High
5.17	3.8	4.31	164	20.49	215	0.21	3.5	0.92	5.71	91.51	15.33	8.04	12.13	8.93	High
5.17	2.35	2.87	223	24.52	209	0.35	2.8	0.5	6.89	94.99	12.15	9.45	12.13	24.12	High
5.17	0.33	2.75	220	25.4	269	0.78	4.76	0.96	5.87	85.04	5.05	14.52	17.42	14.87	High
5.17	0.55	5.65	270	24.49	245	1.5	3.23	0.79	5.73	75.57	8.63	8.99	16.6	7.41	High
5.17	3.8	4.31	164	20.49	215	0.21	3.5	0.92	5.71	91.51	15.33	8.04	12.13	8.93	High
5.18	2.13	3.98	129	45.69	158	1.58	2.2	0.77	1.44	80.68	10.73	13.03	9.58	22.93	High
5.18	2.62	3.72	217	21.95	179	1.73	7.75	0.75	1.81	92.23	7.05	10.79	2.32	21.31	High
5.18	2.13	3.98	129	45.69	158	1.58	2.2	0.77	1.44	80.68	10.73	13.03	9.58	22.93	High
5.18	2.62	3.72	217	21.95	179	1.73	7.75	0.75	1.81	92.23	7.05	10.79	2.32	21.31	High
5.18	4.55	3.07	134	11.41	106	1.14	5.95	0.45	2.8	85.8	12.69	6.93	18.32	10.84	High
5.18	2.13	3.98	129	45.69	158	1.58	2.2	0.77	1.44	80.68	10.73	13.03	9.58	22.93	High
5.18	2.62	3.72	217	21.95	179	1.73	7.75	0.75	1.81	92.23	7.05	10.79	2.32	21.31	High
5.19	0.8	7.48	431	12.84	333	1.59	5.75	0.75	3.72	76.76	10.64	10.64	11.13	22.79	Very High
5.19	1.59	2.32	489	39.23	146	1.75	7.98	0.97	5.81	81.59	12.24	10.26	14.07	10.96	Very High
5.19	5.28	6.44	203	48.1	112	0.48	10.65	0.32	7.28	98	16.3	12	3.8	15.4	Very High
5.19	0.8	7.48	431	12.84	333	1.59	5.75	0.75	3.72	76.76	10.64	10.64	11.13	22.79	Very High
5.19	1.59	2.32	489	39.23	146	1.75	7.98	0.97	5.81	81.59	12.24	10.26	14.07	10.96	Very High
5.19	2.45	2.7	46	14.62	15	0.8	2.61	0.52	2.88	61.7	5.58	7.65	9.18	8.49	Low
5.19	2.45	2.7	46	14.62	15	0.8	2.61	0.52	2.88	61.7	5.58	7.65	9.18	8.49	Low
5.19	2.45	2.7	16	10.62	12	0.8	2.61	0.52	2.88	41.7	5.58	5.45	4.18	5.49	Very Low
5.19	1.19	0.55	289	27.12	206	1.41	7.88	0.92	7.48	75	3.07	9.42	16.59	21.82	High
5.19	1.19	0.55	289	27.12	206	1.41	7.88	0.92	7.48	75	3.07	9.42	16.59	21.82	High
5.2	3.48	3.38	185	26.18	290	0.83	7.96	0.95	2.33	78.79	7.49	8.87	8.5	4.36	High
5.2	3.48	3.38	185	26.18	290	0.83	7.96	0.95	2.33	78.79	7.49	8.87	8.5	4.36	High
5.2	1.49	4.6	273	34.54	316	1.61	6.13	0.46	1.23	78.58	13.13	13.94	8.36	3.26	High
5.21	5.28	6.44	203	48.1	112	0.48	10.65	0.32	7.28	98	16.3	12	3.8	15.4	Very High
5.21	1.52	1.99	11	10.07	76	0.74	7.55	0.46	3.18	74.3	8.48	6.27	7.07	9.54	Low
5.21	1.52	1.99	11	10.07	76	0.74	7.55	0.46	3.18	74.3	8.48	6.27	7.07	9.54	Low
5.21	1.52	1.99	11	10.07	76	0.74	7.55	0.46	3.18	74.3	8.48	6.27	7.07	9.54	Low
5.21	1.52	1.99	11	8.07	26	0.74	4.55	0.46	3.18	54.3	4.48	6.27	4.07	9.54	Very Low
5.21	1.52	1.99	11	8.07	26	0.74	4.55	0.46	3.18	54.3	4.48	6.27	4.07	9.54	Very Low
5.22	3.09	3.43	14	14.95	38	0.54	3.42	0.82	3.6	66.47	7.98	9.92	7.27	3.99	Low
5.22	2.91	2.88	81	15.63	28	0.37	4.99	0.34	1.19	62.52	4.04	10.09	14.48	21.04	Low
5.22	3.09	3.43	14	14.95	38	0.54	3.42	0.82	3.6	66.47	7.98	9.92	7.27	3.99	Low
5.22	2.91	2.88	81	15.63	28	0.37	4.99	0.34	1.19	62.52	4.04	10.09	14.48	21.04	Low
5.22	2.09	1.23	10	8.55	18	0.54	3.42	0.82	3.6	56.47	7.98	8.92	7.27	3.99	Very Low
5.22	2.01	1.08	21	15.63	28	0.37	3.09	0.79	1.19	62.52	4.04	5.09	8.48	18.04	Very Low
5.22	2.7	2.28	208	10.77	268	1.46	8.97	0.46	3.29	70.72	3.12	9.47	11.54	17.21	High
5.22	4.07	5.39	111	15.15	105	1.41	5.48	0.63	2.16	77.83	17.73	11.24	5.21	24.37	High
5.22	2.07	5.39	111	15.15	105	1.41	5.48	0.63	2.16	77.83	17.73	11.24	5.21	24.37	High
5.22	2.7	2.28	208	10.77	268	1.46	8.97	0.46	3.29	70.72	3.12	9.47	11.54	17.21	High
5.22	4.07	5.39	111	15.15	105	1.41	5.48	0.63	2.16	77.83	17.73	11.24	5.21	24.37	High
5.22	2.07	5.39	111	15.15	105	1.41	5.48	0.63	2.16	77.83	17.73	11.24	5.21	24.37	High
5.22	4.18	4.11	245	33.08	251	0.64	6.06	0.46	2.59	96.25	6.92	6.74	6.32	8.18	High
5.22	2.7	2.28	208	10.77	268	1.46	8.97	0.46	3.29	70.72	3.12	9.47	11.54	17.21	High
5.23	1.41	2.9	367	18.6	405	0.46	11.4	0.85	7.4	91.5	18	11.5	8.64	9.59	Very High
5.23	1.41	2.9	367	18.6	405	0.46	11.4	0.85	7.4	91.5	18	11.5	8.64	9.59	Very High
5.23	1.41	2.9	367	18.6	405	0.46	11.4	0.85	7.4	91.5	18	11.5	8.64	9.59	Very High
5.23	2.12	2.18	33	12.11	13	1.88	4.77	0.88	4.37	68.45	17.86	14.16	3.39	3.15	Low
5.23	2.12	2.18	33	12.11	13	1.88	4.77	0.88	4.37	68.45	17.86	14.16	3.39	3.15	Low
5.23	2.12	2.18	33	12.11	13	1.88	4.77	0.88	4.37	68.45	17.86	14.16	3.39	3.15	Low
5.23	2.12	2.18	13	7.11	13	0.88	2.17	0.58	3.37	58.45	7.86	8.16	3.39	3.15	Very Low
5.23	2.12	2.18	13	7.11	13	0.88	2.17	0.58	3.37	58.45	7.86	8.16	3.39	3.15	Very Low
5.23	2.99	5.52	238	21.19	296	0.82	7.8	0.46	6.83	78.61	3.58	9.17	3.48	11.4	High
5.23	2.99	5.52	238	21.19	296	0.82	7.8	0.46	6.83	78.61	3.58	9.17	3.48	11.4	High
5.24	2.35	1.62	12	12.27	46	0.81	3.68	0.93	1.56	66.32	9.51	8.09	7.13	7.88	Low
5.24	2.35	1.62	12	12.27	46	0.81	3.68	0.93	1.56	66.32	9.51	8.09	7.13	7.88	Low
5.24	2.35	1.62	12	8.27	36	0.51	3.68	0.63	1.56	56.32	6.51	8.09	7.13	7.88	Very Low
5.24	2.35	1.62	192	22.27	146	0.81	3.68	0.93	1.56	76.32	9.51	11.09	10.13	7.88	Moderate
5.24	2.35	1.62	192	22.27	146	0.81	3.68	0.93	1.56	76.32	9.51	11.09	10.13	7.88	Moderate
5.25	1.68	6.53	183	20.31	340	1.76	6.56	0.67	1.93	82.21	7.05	14.46	17.3	3.26	High
5.26	5.96	4.34	240	15.4	338	1.99	3.73	0.38	7.27	83.6	6.8	12.7	4.1	14.9	Very High
5.26	3.83	4.31	426	16.32	391	1.52	9.62	0.32	4.82	80.33	9.06	9.06	10.54	13.67	Very High
5.26	3.83	4.31	426	16.32	391	1.52	9.62	0.32	4.82	80.33	9.06	9.06	10.54	13.67	Very High
5.27	1.51	3.55	63	11.22	22	0.64	2.02	0.93	4.01	70.54	10.21	12.64	8.27	22.76	Low
5.27	1.51	3.55	63	11.22	22	0.64	2.02	0.93	4.01	70.54	10.21	12.64	8.27	22.76	Low
5.27	1.51	3.55	63	11.22	22	0.64	2.02	0.93	4.01	70.54	10.21	12.64	8.27	22.76	Low
5.27	1.51	2.55	23	10.22	22	0.44	2.02	0.53	4.01	50.54	10.21	9.64	4.27	6.76	Very Low
5.27	1.51	2.55	23	10.22	22	0.44	2.02	0.53	4.01	50.54	10.21	9.64	4.27	6.76	Very Low
5.27	3.64	4.61	296	11.65	286	1.59	5.11	0.96	1.79	71.89	4.23	7.98	13.33	4.74	High
5.27	2.29	3.63	215	19.93	104	1.52	2.23	0.22	6.99	74.17	17.58	6.76	19.46	14.48	High
5.27	2.29	3.63	215	19.93	104	1.52	2.23	0.22	6.99	74.17	17.58	6.76	19.46	14.48	High
5.27	1.8	2.06	180	35.21	196	0.52	8.78	0.66	5.62	82.54	7.61	11.9	9.95	6.46	High
5.27	3.64	4.61	296	11.65	286	1.59	5.11	0.96	1.79	71.89	4.23	7.98	13.33	4.74	High
5.27	2.29	3.63	215	19.93	104	1.52	2.23	0.22	6.99	74.17	17.58	6.76	19.46	14.48	High
5.28	2.56	2.54	11	17.04	15	0.57	5.05	0.88	7.7	74.89	3.02	8.62	10.37	8.69	Low
5.28	2.56	2.54	11	17.04	15	0.57	5.05	0.88	7.7	74.89	3.02	8.62	10.37	8.69	Low
5.28	2.56	2.54	11	17.04	15	0.57	5.05	0.88	7.7	74.89	3.02	8.62	10.37	8.69	Low
5.28	2.56	2.54	11	6.23	12	0.27	3.05	0.68	7.7	44.89	3.02	8.62	10.37	8.69	Very Low
5.28	2.56	2.54	11	6.23	12	0.27	3.05	0.68	7.7	44.89	3.02	8.62	10.37	8.69	Very Low
5.28	2.19	3.54	295	23	211	0.27	5.47	0.42	6.71	75.74	13.63	7.48	14.88	10.3	High
5.28	1.59	4.2	254	24.88	231	1.65	2.75	0.2	7.55	77.69	9.22	9.21	14.72	8.96	High
5.28	1.08	4.59	203	29.06	153	0.62	7.35	0.95	3.88	76.9	11.55	7.46	9.77	14.7	High
5.28	2.08	2.59	203	29.06	253	0.62	4.35	0.95	3.88	76.9	11.55	7.46	9.77	14.7	High
